city,country,is_capital,population,lat,lon
Пхеньян,Корейская Народно-Демократическая Республика,1,2863000,39.03,125.73
Ашхабад,Туркмения,1,126635,37.95,58.383333333
Ашхабад,Туркмения,1,169935,37.95,58.383333333
Ашхабад,Туркмения,1,253118,37.95,58.383333333
Ашхабад,Туркмения,1,312024,37.95,58.383333333
Ашхабад,Туркмения,1,401135,37.95,58.383333333
Ашхабад,Туркмения,1,540600,37.95,58.383333333
Ашхабад,Туркмения,1,909000,37.95,58.383333333
Ашхабад,Туркмения,1,1003678,37.95,58.383333333
Ванкувер,Канада,0,631486,49.25,-123.1
Касугаи,Япония,0,306936,35.25,136.966666666
Ставангер,Норвегия,0,132729,58.97,5.71
Тронхейм,Норвегия,0,190464,63.44,10.4
Шривпорт,Соединённые Штаты Америки,0,199311,32.5082078,-93.7629569
Сан-Хосе,Соединённые Штаты Америки,0,1025350,37.304166666,-121.872777777
Денвер,Соединённые Штаты Америки,0,649495,39.739166666,-104.984722222
Хьюстон,Соединённые Штаты Америки,0,2195914,29.762777777,-95.383055555
Финикс,Соединённые Штаты Америки,0,1469471,33.528333333,-112.076388888
Даллас,Соединённые Штаты Америки,0,1197816,32.7825,-96.7975
Форт-Уэрт,Соединённые Штаты Америки,0,812238,32.757222222,-97.333055555
Остин,Соединённые Штаты Америки,0,912791,30.3,-97.733333333
Эль-Пасо,Соединённые Штаты Америки,0,649133,31.790277777,-106.423333333
Мемфис,Соединённые Штаты Америки,0,646889,35.1175,-89.971111111
Колумбус,Соединённые Штаты Америки,0,787033,39.983333333,-82.983333333
Джэксонвилл,Соединённые Штаты Америки,0,880619,30.316666666,-81.65
Ларедо,Соединённые Штаты Америки,0,244731,27.506111111,-99.507222222
Окленд,Соединённые Штаты Америки,0,422856,37.8,-122.25
Арлингтон,Соединённые Штаты Америки,0,365438,32.705033,-97.122839
Провиденс,Соединённые Штаты Америки,0,178042,41.830833333,-71.415
Орора,Соединённые Штаты Америки,0,197899,41.76,-88.298611111
Нашвилл,Соединённые Штаты Америки,0,668347,36.165,-86.783888888
Солт-Лейк-Сити,Соединённые Штаты Америки,0,186440,40.75,-111.883333333
Прово,Соединённые Штаты Америки,0,116288,40.244444444,-111.660833333
Олбани,Соединённые Штаты Америки,0,100104,42.65,-73.766666666
Ньюарк,Соединённые Штаты Америки,0,281944,40.735277777,-74.185
Джерси-Сити,Соединённые Штаты Америки,0,247597,40.711388888,-74.064722222
Орхус,Дания,0,269022,56.156388888,10.209722222
Оденсе,Дания,0,176683,55.4,10.383333333
Ольборг,Дания,0,113417,57.05,9.916666666
Салоники,Греция,0,315196,40.633333333,22.95
Леуварден,Нидерланды,0,108891,53.2,5.783333333
Манчестер,Великобритания,0,520215,53.466666666,-2.233333333
Брадфорд,Великобритания,0,293277,53.794,-1.751
Бристоль,Великобритания,0,442500,51.45,-2.583333333
Эдинбург,Великобритания,0,464990,55.95,-3.198888888
Ливерпуль,Великобритания,0,466415,53.416666666,-3.0
Гуанчжоу,Китайская Народная Республика,0,13080500,23.11667,113.25
Гуанчжоу,Китайская Народная Республика,0,13080500,23.128795,113.258976
Первоуральск,Россия,0,124447,56.916666666,59.95
Подольск,Россия,0,299660,55.429722222,37.544444444
Симферополь,Россия,0,341155,44.948376,34.100039
Мытищи,Россия,0,205397,55.916666666,37.733333333
Бремен,Германия,0,565719,53.076944444,8.808888888
Бремен,Германия,0,565719,53.08891,8.79063
Борисов,Белоруссия,0,145659,54.233333333,28.5
Кошице,Словакия,0,240688,48.716666666,21.25
Тэджон,Республика Корея,0,1535445,36.351,127.385
Тэгу,Республика Корея,0,2461002,35.866666666,128.6
Инчхон,Республика Корея,0,2913024,37.463888888,126.648611111
Ликаси,Демократическая Республика Конго,0,422535,-10.983333333,26.733333333
Лондон,Канада,0,383822,42.9837,-81.2497
Сегед,Венгрия,0,161137,46.25,20.166666666
Мишкольц,Венгрия,0,157177,48.1044444,20.7897222
Оренсе,Испания,0,105636,42.336388888,-7.863333333
Саванна,Соединённые Штаты Америки,0,142772,32.050833333,-81.103888888
Шарлеруа,Бельгия,0,201761,50.416666666,4.444166666
Ольштын,Польша,0,173599,53.783333333,20.483333333
Ополе,Польша,0,127792,50.666666666,17.933333333
Кельце,Польша,0,191605,50.8725,20.631944444
Бытом,Польша,0,171515,50.347,18.923
Ченстохова,Польша,0,228179,50.8,19.116666666
Забже,Польша,0,179452,50.3,18.783333333
Антакья,Турция,0,354768,36.2,36.15
Ван,Турция,0,353419,38.501944444,43.416666666
Газиантеп,Турция,0,1556381,37.066666666,37.383333333
Алмере,Нидерланды,0,198315,52.375833333,5.225555555
Эль-Гиза,Египет,0,3021542,30.01,31.21
Монтеррей,Мексика,0,1135512,25.671388888,-100.308611111
Акапулько,Мексика,0,673479,16.8628695,-99.8870087
Лестер,Великобритания,0,464395,52.633333333,-1.133333333
Чанчунь,Китайская Народная Республика,0,7674439,43.9,125.2
Сантус,Бразилия,0,433966,-23.960833333,-46.333888888
Гояния,Бразилия,0,1393575,-16.678888888,-49.253888888
Новокузнецк,Россия,0,552445,53.75,87.116666666
Набережные Челны,Россия,0,529797,55.7,52.333333333
Магнитогорск,Россия,0,418241,53.383333333,59.033333333
Нижний Тагил,Россия,0,355693,57.916666666,59.966666666
Волжский,Россия,0,326055,48.783333333,44.766666666
Елец,Россия,0,105016,52.616666666,38.466666666
Ковров,Россия,0,138552,56.360555555,41.319722222
Бийск,Россия,0,203108,52.516666666,85.166666666
